Field;Value;Field;Value;Field;Value;Field;Value
MES;1;ANIO;2025;IC2;/Yes;IC2impo;70.28
MES;1;ANIO;2025;IRDA;/Yes;IRDAimpo;283.85
MES;10;ANIO;2024;IC2;/Yes;IC2impo;294.21
MES;10;ANIO;2024;IRDA;/Yes;IRDAimpo;1,188.32
MES;5;ANIO;2024;IC2;/Yes;IC2impo;30.27
MES;5;ANIO;2024;IC;/Yes;ICimpo;11.53
MES;5;ANIO;2024;IRDA;/Yes;IRDAimpo;37.34
MES;5;ANIO;2024;DC;/Yes;DCimpo;14.22
MES;4;ANIO;2024;IC2;/Yes;IC2impo;344.68
MES;4;ANIO;2024;IC2;/Yes;IC2impo;49.15
MES;4;ANIO;2024;IC;/Yes;ICimpo;18.72
MES;4;ANIO;2024;IRDA;/Yes;IRDAimpo;409.01
MES;4;ANIO;2024;IRDA;/Yes;IRDAimpo;54.69
MES;4;ANIO;2024;DC;/Yes;DCimpo;20.83
MES;3;ANIO;2024;IC2;/Yes;IC2impo;796.15
MES;3;ANIO;2024;IRDA;/Yes;IRDAimpo;944.73
MES;2;ANIO;2024;IC2;/Yes;IC2impo;1,311.45
MES;2;ANIO;2024;IRDA;/Yes;IRDAimpo;1,556.21
MES;1;ANIO;2024;IC2;/Yes;IC2impo;1,882.62
MES;1;ANIO;2024;IRDA;/Yes;IRDAimpo;2,233.97
MES;12;ANIO;2023;IC2;/Yes;IC2impo;1,074.93
MES;12;ANIO;2023;IC2;/Yes;IC2impo;15.70
MES;12;ANIO;2023;IC;/Yes;ICimpo;5.54
MES;12;ANIO;2023;IRDA;/Yes;IRDAimpo;1,275.54
MES;12;ANIO;2023;IRDA;/Yes;IRDAimpo;11.36
MES;12;ANIO;2023;DC;/Yes;DCimpo;4.01
MES;11;ANIO;2023;IC2;/Yes;IC2impo;1,179.75
MES;11;ANIO;2023;IRDA;/Yes;IRDAimpo;1,399.92
MES;10;ANIO;2023;IC2;/Yes;IC2impo;1,284.56
MES;10;ANIO;2023;IC2;/Yes;IC2impo;2.59
MES;10;ANIO;2023;IC;/Yes;ICimpo;0.99
MES;10;ANIO;2023;IRDA;/Yes;IRDAimpo;1,524.30
MES;10;ANIO;2023;IRDA;/Yes;IRDAimpo;1.65
MES;10;ANIO;2023;DC;/Yes;DCimpo;0.63
MES;9;ANIO;2023;IC2;/Yes;IC2impo;1,382.39
MES;9;ANIO;2023;IRDA;/Yes;IRDAimpo;1,640.38
MES;8;ANIO;2023;IC2;/Yes;IC2impo;1,494.19
MES;8;ANIO;2023;IC2;/Yes;IC2impo;1.54
MES;8;ANIO;2023;IC;/Yes;ICimpo;0.59
MES;8;ANIO;2023;IRDA;/Yes;IRDAimpo;1,773.05
MES;8;ANIO;2023;IRDA;/Yes;IRDAimpo;0.91
MES;8;ANIO;2023;DC;/Yes;DCimpo;0.35
MES;7;ANIO;2023;IC2;/Yes;IC2impo;1,599.01
MES;7;ANIO;2023;IRDA;/Yes;IRDAimpo;1,897.43
MES;6;ANIO;2023;IC2;/Yes;IC2impo;1,696.83
MES;6;ANIO;2023;IRDA;/Yes;IRDAimpo;2,013.51
MES;5;ANIO;2023;IC2;/Yes;IC2impo;1,808.64
MES;5;ANIO;2023;IRDA;/Yes;IRDAimpo;2,146.18
MES;4;ANIO;2023;IC2;/Yes;IC2impo;1,913.45
MES;4;ANIO;2023;IC2;/Yes;IC2impo;4.40
MES;4;ANIO;2023;IC;/Yes;ICimpo;1.56
MES;4;ANIO;2023;IRDA;/Yes;IRDAimpo;2,270.56
MES;4;ANIO;2023;IRDA;/Yes;IRDAimpo;2.31
MES;4;ANIO;2023;DC;/Yes;DCimpo;0.82
MES;3;ANIO;2023;IC2;/Yes;IC2impo;2,011.28
MES;3;ANIO;2023;IC2;/Yes;IC2impo;0.20
MES;3;ANIO;2023;IC2;/Yes;IC2impo;16.28
MES;3;ANIO;2023;IC2;/Yes;IC2impo;2.10
MES;3;ANIO;2023;IC;/Yes;ICimpo;5.75
MES;3;ANIO;2023;IC;/Yes;ICimpo;1.09
MES;3;ANIO;2023;IRDA;/Yes;IRDAimpo;2,386.64
MES;3;ANIO;2023;IC2;/Yes;IC2impo;0.10
